scenario,strategy,total_distance_km,p_value
0,Greedy,3554.72,1.9878185575667702e-07
0,TwoOpt,5229.79,1.9878185575667702e-07
1,Greedy,5694.63,1.9878185575667702e-07
1,TwoOpt,5872.94,1.9878185575667702e-07
2,Greedy,6174.56,1.9878185575667702e-07
2,TwoOpt,6078.11,1.9878185575667702e-07
3,Greedy,5658.75,1.9878185575667702e-07
3,TwoOpt,5489.67,1.9878185575667702e-07
4,Greedy,3997.7,1.9878185575667702e-07
4,TwoOpt,5780.54,1.9878185575667702e-07
5,Greedy,4293.97,1.9878185575667702e-07
5,TwoOpt,4356.17,1.9878185575667702e-07
6,Greedy,3835.19,1.9878185575667702e-07
6,TwoOpt,5691.8,1.9878185575667702e-07
7,Greedy,3338.55,1.9878185575667702e-07
7,TwoOpt,4816.59,1.9878185575667702e-07
8,Greedy,6199.68,1.9878185575667702e-07
8,TwoOpt,5935.04,1.9878185575667702e-07
9,Greedy,5050.47,1.9878185575667702e-07
9,TwoOpt,6262.05,1.9878185575667702e-07
10,Greedy,3745.21,1.9878185575667702e-07
10,TwoOpt,3739.9,1.9878185575667702e-07
11,Greedy,3868.73,1.9878185575667702e-07
11,TwoOpt,4071.12,1.9878185575667702e-07
12,Greedy,4425.88,1.9878185575667702e-07
12,TwoOpt,5402.65,1.9878185575667702e-07
13,Greedy,5474.58,1.9878185575667702e-07
13,TwoOpt,6388.35,1.9878185575667702e-07
14,Greedy,3909.52,1.9878185575667702e-07
14,TwoOpt,4654.02,1.9878185575667702e-07
15,Greedy,5487.82,1.9878185575667702e-07
15,TwoOpt,6599.83,1.9878185575667702e-07
16,Greedy,3996.11,1.9878185575667702e-07
16,TwoOpt,4889.83,1.9878185575667702e-07
17,Greedy,5337.99,1.9878185575667702e-07
17,TwoOpt,5720.53,1.9878185575667702e-07
18,Greedy,3215.46,1.9878185575667702e-07
18,TwoOpt,4946.59,1.9878185575667702e-07
19,Greedy,5589.97,1.9878185575667702e-07
19,TwoOpt,6387.05,1.9878185575667702e-07
20,Greedy,6328.2,1.9878185575667702e-07
20,TwoOpt,6031.09,1.9878185575667702e-07
21,Greedy,4168.28,1.9878185575667702e-07
21,TwoOpt,4832.07,1.9878185575667702e-07
22,Greedy,4457.93,1.9878185575667702e-07
22,TwoOpt,5913.4,1.9878185575667702e-07
23,Greedy,4155.32,1.9878185575667702e-07
23,TwoOpt,3915.69,1.9878185575667702e-07
24,Greedy,4711.85,1.9878185575667702e-07
24,TwoOpt,4833.2,1.9878185575667702e-07
25,Greedy,3903.37,1.9878185575667702e-07
25,TwoOpt,4908.98,1.9878185575667702e-07
26,Greedy,6045.05,1.9878185575667702e-07
26,TwoOpt,6058.73,1.9878185575667702e-07
27,Greedy,4088.23,1.9878185575667702e-07
27,TwoOpt,4023.94,1.9878185575667702e-07
28,Greedy,4967.28,1.9878185575667702e-07
28,TwoOpt,5552.51,1.9878185575667702e-07
29,Greedy,5802.61,1.9878185575667702e-07
29,TwoOpt,6257.62,1.9878185575667702e-07
30,Greedy,5043.2,1.9878185575667702e-07
30,TwoOpt,6439.74,1.9878185575667702e-07
31,Greedy,5347.49,1.9878185575667702e-07
31,TwoOpt,5303.72,1.9878185575667702e-07
32,Greedy,4510.08,1.9878185575667702e-07
32,TwoOpt,6261.99,1.9878185575667702e-07
33,Greedy,5738.88,1.9878185575667702e-07
33,TwoOpt,5379.24,1.9878185575667702e-07
34,Greedy,5739.61,1.9878185575667702e-07
34,TwoOpt,5553.77,1.9878185575667702e-07
35,Greedy,4064.94,1.9878185575667702e-07
35,TwoOpt,4025.32,1.9878185575667702e-07
36,Greedy,4530.01,1.9878185575667702e-07
36,TwoOpt,5942.55,1.9878185575667702e-07
37,Greedy,5381.27,1.9878185575667702e-07
37,TwoOpt,5119.83,1.9878185575667702e-07
38,Greedy,3842.82,1.9878185575667702e-07
38,TwoOpt,4871.68,1.9878185575667702e-07
39,Greedy,4286.68,1.9878185575667702e-07
39,TwoOpt,5560.43,1.9878185575667702e-07
40,Greedy,5277.14,1.9878185575667702e-07
40,TwoOpt,6821.06,1.9878185575667702e-07
41,Greedy,5514.4,1.9878185575667702e-07
41,TwoOpt,6330.08,1.9878185575667702e-07
42,Greedy,3418.87,1.9878185575667702e-07
42,TwoOpt,5083.99,1.9878185575667702e-07
43,Greedy,5418.38,1.9878185575667702e-07
43,TwoOpt,5062.2,1.9878185575667702e-07
44,Greedy,4789.4,1.9878185575667702e-07
44,TwoOpt,5799.44,1.9878185575667702e-07
45,Greedy,3644.85,1.9878185575667702e-07
45,TwoOpt,4705.42,1.9878185575667702e-07
46,Greedy,5087.54,1.9878185575667702e-07
46,TwoOpt,5625.47,1.9878185575667702e-07
47,Greedy,5973.21,1.9878185575667702e-07
47,TwoOpt,5660.33,1.9878185575667702e-07
48,Greedy,5422.38,1.9878185575667702e-07
48,TwoOpt,5203.93,1.9878185575667702e-07
49,Greedy,4767.93,1.9878185575667702e-07
49,TwoOpt,4613.35,1.9878185575667702e-07
