weight_name,delta,weights,total_waste_kg
w_PI,-0.05,"[0.2632, 0.2632, 0.2105, 0.1579, 0.1053]",0
w_PI,0.0,"[0.3, 0.25, 0.2, 0.15, 0.1]",0
w_PI,0.05,"[0.3333, 0.2381, 0.1905, 0.1429, 0.0952]",0
w_DS,-0.05,"[0.3158, 0.2105, 0.2105, 0.1579, 0.1053]",0
w_DS,0.0,"[0.3, 0.25, 0.2, 0.15, 0.1]",0
w_DS,0.05,"[0.2857, 0.2857, 0.1905, 0.1429, 0.0952]",0
w_DistS,-0.05,"[0.3158, 0.2632, 0.1579, 0.1579, 0.1053]",0
w_DistS,0.0,"[0.3, 0.25, 0.2, 0.15, 0.1]",0
w_DistS,0.05,"[0.2857, 0.2381, 0.2381, 0.1429, 0.0952]",0
w_CS,-0.05,"[0.3158, 0.2632, 0.2105, 0.1053, 0.1053]",0
w_CS,0.0,"[0.3, 0.25, 0.2, 0.15, 0.1]",0
w_CS,0.05,"[0.2857, 0.2381, 0.1905, 0.1905, 0.0952]",0
w_TU,-0.05,"[0.3158, 0.2632, 0.2105, 0.1579, 0.0526]",0
w_TU,0.0,"[0.3, 0.25, 0.2, 0.15, 0.1]",0
w_TU,0.05,"[0.2857, 0.2381, 0.1905, 0.1429, 0.1429]",0
